cityLabel,population,gps
Forbes,36,Point(-98.783055555 45.944166666)
Wolford,36,Point(-99.705555555 48.498055555)
Carbon,36,Point(-94.825277777 41.050277777)
Millerton,36,Point(-93.305555555 40.849166666)
Robinson,36,Point(-99.779166666 47.143055555)
A Pousa,37,Point(-7.750341666 42.226088888)
A Outraldea,37,Point(-7.853786111 42.487019444)
Q111940908,37,Point(-7.171197222 42.173494444)
Q12387174,37,Point(-6.9205 42.390361111)
Springbrook,37,Point(-103.4588015 48.2525229)
Denham,37,Point(-92.94694444 46.36361111)
Souris,37,Point(-100.680833333 48.910277777)
Jackson Junction,37,Point(-92.046666666 43.106944444)
Speed,37,Point(-99.4203 39.6769)
Curlew,37,Point(-94.7375 42.980277777)
Sun City,37,Point(-98.9175 37.3792)
Spencer,37,Point(-112.192 44.3672)
Wilmore,37,Point(-99.21 37.3347)
Robinson,37,Point(-99.779166666 47.143055555)
Antelope,37,Point(-120.722777777 44.910833333)
Q12259792,37,Point(-1.25611111 42.75777778)
San Carlos,37.461,Point(-84.777965 11.123616)
Q110284222,38,Point(-7.330893034 41.970698639)
Correxais,38,Point(-7.059736111 42.399455555)
Fairdale,38,Point(-98.231944444 48.489444444)
Danville,38,Point(-97.8928 37.2867)
Fredonia,38,Point(-99.095277777 46.328611111)
Inkster,38,Point(-97.644722222 48.151944444)
Blanchard,38,Point(-95.220833333 40.579722222)
Landa,38,Point(-100.911388888 48.896388888)
Hillman,38,Point(-93.893888888 46.004166666)
Dana,38,Point(-94.240277777 42.106666666)
State Line,38,Point(-117.038 47.705)
Byers,38,Point(-98.8672 37.7878)
Rinard,38,Point(-94.488055555 42.339166666)
Willis,38,Point(-95.5056 39.7242)
Timken,38,Point(-99.1775 38.4728)
